,chr,node_layer_0,node_layer_1,weights_0,layer0_name,weights_1,layer1_name,raw_importance
29,chr1,29,6,0.0009280284,chrchr1:986998,1.32845025e-05,AGRN,1.2328396e-08
30,chr1,30,7,-0.0016503572,chrchr1:1019718,3.4736172e-07,C1orf159,-5.732709e-10
31,chr1,31,8,-0.007699112,chrchr1:1138963,-1.8812727e-06,TNFRSF18,1.44841295e-08
32,chr1,32,8,0.0066696946,chrchr1:1139216,-1.8812727e-06,TNFRSF18,-1.2547514e-08
33,chr1,33,9,0.0013861656,chrchr1:1149466,2.184983e-06,TNFRSF4,3.0287484e-09
34,chr1,34,10,-0.061597172,chrchr1:1158631,-0.04430519,SDF4,0.0027290743
35,chr1,35,11,-0.00019405138,chrchr1:1222958,2.05657e-06,SCNN1D,-3.9908027e-10
36,chr1,36,11,-0.00037281527,chrchr1:1223114,2.05657e-06,SCNN1D,-7.6672074e-10
37,chr1,37,12,-0.0038029125,chrchr1:1238377,-1.0543548e-06,ACAP3,4.0096193e-09
38,chr1,38,13,-0.004112078,chrchr1:1248329,8.031271e-07,INTS11,-3.3025211e-09
39,chr1,39,13,0.0069954703,chrchr1:1259991,8.031271e-07,INTS11,5.6182516e-09
40,chr1,40,14,-2.1183025e-05,chrchr1:1262966,-4.3481495e-07,CPTP,9.210696e-12
41,chr1,41,14,-8.124933e-05,chrchr1:1263085,-4.3481495e-07,CPTP,3.5328424e-11
42,chr1,42,15,-0.0030219848,chrchr1:1269796,-3.2556509e-06,TAS1R3,9.838527e-09
43,chr1,43,16,-0.0018035918,chrchr1:1271940,-2.5925249e-06,DVL1,4.6758566e-09
44,chr1,44,17,-0.0043954086,chrchr1:1289216,-0.027791088,MXRA8,0.00012215319
45,chr1,45,17,0.03965175,chrchr1:1290015,-0.027791088,MXRA8,-0.0011019653
46,chr1,46,18,-0.03148862,chrchr1:1342612,0.023213988,MRPL20,-0.00073097646
47,chr1,47,19,0.0037878873,chrchr1:1386016,5.5588102e-06,ATAD3C,2.1056147e-08
48,chr1,48,19,-0.0040979353,chrchr1:1396132,5.5588102e-06,ATAD3C,-2.2779645e-08
49,chr1,49,19,0.0071706465,chrchr1:1396226,5.5588102e-06,ATAD3C,3.9860264e-08
50,chr1,50,19,0.0059175324,chrchr1:1396238,5.5588102e-06,ATAD3C,3.289444e-08
51,chr1,51,19,-0.0014924738,chrchr1:1396338,5.5588102e-06,ATAD3C,-8.296379e-09
52,chr1,52,19,-0.00896184,chrchr1:1404016,5.5588102e-06,ATAD3C,-4.9817167e-08
53,chr1,53,20,0.0004870611,chrchr1:1430984,-2.0652406e-06,ATAD3B,-1.0058984e-09
54,chr1,54,21,0.0031814182,chrchr1:1458954,3.1257794e-06,ATAD3A,9.9444115e-09
55,chr1,55,21,0.0007499385,chrchr1:1469399,3.1257794e-06,ATAD3A,2.3441422e-09
56,chr1,56,22,-0.0033254898,chrchr1:1479333,-1.0914353e-06,SSU72,3.6295569e-09
57,chr1,57,22,0.0031684889,chrchr1:1480226,-1.0914353e-06,SSU72,-3.4582004e-09
58,chr1,58,23,-0.049368437,chrchr1:1564712,0.0389524,MIB2,-0.0019230191
59,chr1,59,24,-0.0004163856,chrchr1:1635397,-8.0737107e-07,CDK11A,3.3617767e-10
60,chr1,60,24,0.0036113511,chrchr1:1635565,-8.0737107e-07,CDK11A,-2.9157003e-09
61,chr1,61,25,-2.9840958e-05,chrchr1:1696659,-3.227767e-06,NADK,9.6319654e-11
62,chr1,62,26,0.0026730907,chrchr1:1735812,2.417184e-07,GNB1,6.461352e-10
63,chr1,63,27,0.0016280961,chrchr1:1847979,-7.1221575e-07,CALML6,-1.1595557e-09
64,chr1,64,27,-0.0038451117,chrchr1:1848160,-7.1221575e-07,CALML6,2.7385492e-09
65,chr1,65,28,-0.009864004,chrchr1:1849530,1.3963711e-06,TMEM52,-1.37738105e-08
66,chr1,66,28,0.009719521,chrchr1:1849744,1.3963711e-06,TMEM52,1.3572058e-08
67,chr1,67,29,-0.011969019,chrchr1:1853863,-3.1511781e-06,CFAP74,3.771651e-08
68,chr1,68,29,-0.00612156,chrchr1:1854546,-3.1511781e-06,CFAP74,1.9290127e-08
69,chr1,69,29,0.004222762,chrchr1:1855319,-3.1511781e-06,CFAP74,-1.3306675e-08
70,chr1,70,29,0.009257264,chrchr1:1886863,-3.1511781e-06,CFAP74,-2.917129e-08
71,chr1,71,29,-0.0007062177,chrchr1:1890559,-3.1511781e-06,CFAP74,2.2254178e-09
72,chr1,72,29,-0.0011953476,chrchr1:1891477,-3.1511781e-06,CFAP74,3.766753e-09
73,chr1,73,29,0.008026916,chrchr1:1920001,-3.1511781e-06,CFAP74,-2.5294241e-08
74,chr1,74,30,-0.0026919292,chrchr1:1959121,-4.1883766e-07,GABRD,1.1274813e-09
75,chr1,75,31,0.007353115,chrchr1:1990941,-0.058253024,PRKCZ,-0.00042834118
76,chr1,76,31,-0.010329408,chrchr1:2077430,-0.058253024,PRKCZ,0.00060171925
77,chr1,77,31,0.016857179,chrchr1:2082184,-0.058253024,PRKCZ,-0.0009819816
78,chr1,78,31,-0.045058873,chrchr1:2082458,-0.058253024,PRKCZ,0.0026248156
79,chr1,79,32,-0.00014189802,chrchr1:2121125,-4.1281385e-07,FAAP20,5.857747e-11
80,chr1,80,33,0.00037226462,chrchr1:2234681,1.2236599e-06,SKI,4.5552528e-10
81,chr1,81,34,0.0022765668,chrchr1:2288852,-5.5331698e-06,MORN1,-1.259663e-08
82,chr1,82,35,0.008859668,chrchr1:2421335,0.038990755,PLCH2,0.00034544515
83,chr1,83,35,-0.06323138,chrchr1:2422614,0.038990755,PLCH2,-0.0024654393
84,chr1,84,35,-0.018443659,chrchr1:2430617,0.038990755,PLCH2,-0.0007191322
85,chr1,85,35,0.0066276817,chrchr1:2435989,0.038990755,PLCH2,0.00025841832
86,chr1,86,35,-0.004835853,chrchr1:2436271,0.038990755,PLCH2,-0.00018855356
87,chr1,87,36,0.0005938936,chrchr1:2446880,-1.6643757e-05,PANK4,-9.88462e-09
88,chr1,88,36,0.0020188321,chrchr1:2450544,-1.6643757e-05,PANK4,-3.360095e-08
89,chr1,89,36,0.0047599655,chrchr1:2450571,-1.6643757e-05,PANK4,-7.922371e-08
90,chr1,90,36,-0.009679216,chrchr1:2451887,-1.6643757e-05,PANK4,1.6109851e-07
91,chr1,91,36,0.0040699965,chrchr1:2453163,-1.6643757e-05,PANK4,-6.774003e-08
92,chr1,92,37,-0.0018893944,chrchr1:2494330,5.485303e-06,TNFRSF14,-1.0363901e-08
93,chr1,93,38,-0.00272781,chrchr1:2520500,0.0027204663,PRXL2B,-7.4209156e-06
94,chr1,94,38,-0.014063797,chrchr1:2520527,0.0027204663,PRXL2B,-3.8260085e-05
95,chr1,95,39,-0.00762798,chrchr1:2522392,0.0285497,MMEL1,-0.00021777653
96,chr1,96,39,-0.01214675,chrchr1:2524205,0.0285497,MMEL1,-0.00034678608
97,chr1,97,39,-0.001204899,chrchr1:2524457,0.0285497,MMEL1,-3.4399505e-05
98,chr1,98,39,0.0048739067,chrchr1:2526746,0.0285497,MMEL1,0.00013914857
99,chr1,99,39,0.023714786,chrchr1:2528133,0.0285497,MMEL1,0.00067705003
100,chr1,100,39,-0.017393557,chrchr1:2535613,0.0285497,MMEL1,-0.00049658085
101,chr1,101,39,0.0054716454,chrchr1:2535758,0.0285497,MMEL1,0.00015621383
102,chr1,102,39,-0.0052677663,chrchr1:2537095,0.0285497,MMEL1,-0.00015039314
103,chr1,103,39,-0.011121783,chrchr1:2537838,0.0285497,MMEL1,-0.00031752358
104,chr1,104,39,-0.011192551,chrchr1:2541269,0.0285497,MMEL1,-0.00031954396
105,chr1,105,40,-0.040434577,chrchr1:3328358,0.008534728,PRDM16,-0.0003450981
106,chr1,106,40,0.00332244,chrchr1:3331081,0.008534728,PRDM16,2.835612e-05
107,chr1,107,41,0.0029952575,chrchr1:3390027,0.004040894,ARHGEF16,1.2103518e-05
108,chr1,108,41,-0.003952432,chrchr1:3390219,0.004040894,ARHGEF16,-1.5971358e-05
109,chr1,109,41,-0.008917238,chrchr1:3397062,0.004040894,ARHGEF16,-3.6033613e-05
110,chr1,110,42,-0.0053755394,chrchr1:3407556,-3.6540837e-06,MEGF6,1.9642671e-08
111,chr1,111,42,0.0042968225,chrchr1:3413705,-3.6540837e-06,MEGF6,-1.5700948e-08
112,chr1,112,42,0.0057375235,chrchr1:3417353,-3.6540837e-06,MEGF6,-2.0965391e-08
113,chr1,113,42,0.0023086125,chrchr1:3426594,-3.6540837e-06,MEGF6,-8.435863e-09
114,chr1,114,42,-0.00853177,chrchr1:3427341,-3.6540837e-06,MEGF6,3.11758e-08
115,chr1,115,43,-0.0063237757,chrchr1:3551905,-6.379202e-06,WRAP73,4.0340645e-08
116,chr1,116,43,0.005480742,chrchr1:3552642,-6.379202e-06,WRAP73,-3.4962763e-08
117,chr1,117,44,-0.00011156508,chrchr1:3638674,7.4504635e-07,TP73,-8.3121156e-11
118,chr1,118,45,0.0010314843,chrchr1:3753013,-1.4521078e-07,CEP104,-1.4978264e-10
119,chr1,119,46,-0.022272645,chrchr1:3774138,0.045142166,DFFB,-0.0010054355
120,chr1,120,46,-0.024572061,chrchr1:3782608,0.045142166,DFFB,-0.001109236
121,chr1,121,46,0.010588121,chrchr1:3786189,0.045142166,DFFB,0.0004779707
122,chr1,122,46,0.029716404,chrchr1:3800242,0.045142166,DFFB,0.0013414628
123,chr1,123,47,-0.0010713309,chrchr1:3809528,5.660314e-07,C1orf174,-6.064069e-10
124,chr1,124,48,-0.00070798316,chrchr1:4834606,1.8532701e-06,AJAP1,-1.312084e-09
125,chr1,125,49,-0.0014283007,chrchr1:5923501,3.0190201e-06,NPHP4,-4.312069e-09
126,chr1,126,49,-3.9436e-06,chrchr1:5937391,3.0190201e-06,NPHP4,-1.1905808e-11
127,chr1,127,49,0.0005805725,chrchr1:6027336,3.0190201e-06,NPHP4,1.7527602e-09
128,chr1,128,50,0.016103446,chrchr1:6154589,0.011838758,KCNAB2,0.00019064482
129,chr1,129,51,0.004170095,chrchr1:6203888,-8.320377e-06,CHD5,-3.469676e-08
130,chr1,130,51,-0.001781908,chrchr1:6209265,-8.320377e-06,CHD5,1.4826146e-08
131,chr1,131,52,-0.0031177965,chrchr1:6285270,-9.042584e-07,ICMT,2.8192937e-09
132,chr1,132,53,0.0024466054,chrchr1:6511901,-1.9806148e-06,ESPN,-4.845783e-09
133,chr1,133,54,-0.00019248783,chrchr1:6524501,-4.2801485e-06,TNFRSF25,8.2387647e-10
134,chr1,134,55,-0.014669643,chrchr1:6528468,-0.02629517,PLEKHG5,0.00038574074
135,chr1,135,55,0.0010003758,chrchr1:6529188,-0.02629517,PLEKHG5,-2.6305053e-05
136,chr1,136,55,-0.015526434,chrchr1:6529443,-0.02629517,PLEKHG5,0.00040827022
137,chr1,137,55,-0.014918817,chrchr1:6529748,-0.02629517,PLEKHG5,0.00039229283
138,chr1,138,55,-0.020183863,chrchr1:6530435,-0.02629517,PLEKHG5,0.0005307381
139,chr1,139,55,-0.0050826585,chrchr1:6531124,-0.02629517,PLEKHG5,0.00013364937
140,chr1,140,55,-0.008484743,chrchr1:6531650,-0.02629517,PLEKHG5,0.00022310775
141,chr1,141,55,0.018254403,chrchr1:6556585,-0.02629517,PLEKHG5,-0.00048000264
142,chr1,142,56,-0.06666591,chrchr1:6631319,-0.026123244,TAS1R1,0.0017415299
143,chr1,143,56,-0.031076036,chrchr1:6635306,-0.026123244,TAS1R1,0.0008118069
144,chr1,144,56,0.0042486186,chrchr1:6635448,-0.026123244,TAS1R1,-0.000110987705
145,chr1,145,57,-0.002028648,chrchr1:6647697,6.5903896e-07,ZBTB48,-1.3369581e-09
146,chr1,146,58,-0.002226827,chrchr1:6653424,-1.0033054e-07,KLHL21,2.2341876e-10
147,chr1,147,58,2.148671e-05,chrchr1:6659505,-1.0033054e-07,KLHL21,-2.1557732e-12
148,chr1,148,59,0.018246125,chrchr1:6692837,0.007916601,THAP3,0.0001444473
149,chr1,149,60,0.05317924,chrchr1:6695802,-0.047676217,DNAJC11,-0.002535385
150,chr1,150,60,0.036601275,chrchr1:6711146,-0.047676217,DNAJC11,-0.0017450104
151,chr1,151,61,-0.04599418,chrchr1:7151479,0.048031706,CAMTA1,-0.002209179
152,chr1,152,61,-0.0066799596,chrchr1:7723534,0.048031706,CAMTA1,-0.00032084985
153,chr1,153,61,-0.00032813766,chrchr1:7725309,0.048031706,CAMTA1,-1.5761012e-05
154,chr1,154,61,0.011675072,chrchr1:7737651,0.048031706,CAMTA1,0.00056077365
155,chr1,155,61,-0.0027709047,chrchr1:7797625,0.048031706,CAMTA1,-0.00013309128
156,chr1,156,62,-0.0011614566,chrchr1:7886598,1.5438311e-06,PER3,-1.7930928e-09
157,chr1,157,62,0.0006883091,chrchr1:7887561,1.5438311e-06,PER3,1.062633e-09
158,chr1,158,63,0.015080637,chrchr1:7907971,-0.049657132,UTS2,-0.00074886123
159,chr1,159,63,-0.0512132,chrchr1:7913430,-0.049657132,UTS2,0.0025431006
160,chr1,160,64,-0.003218419,chrchr1:8045045,-4.648129e-06,PARK7,1.4959626e-08
161,chr1,161,65,0.00046002257,chrchr1:8075618,-8.577594e-07,ERRFI1,-3.945887e-10
162,chr1,162,66,-0.00096532545,chrchr1:8424029,2.4045228e-06,RERE,-2.321147e-09
163,chr1,163,66,-0.0015688499,chrchr1:8526071,2.4045228e-06,RERE,-3.7723353e-09
164,chr1,164,67,-2.0856061e-05,chrchr1:9031051,-2.0661823e-06,CA6,4.3092425e-11
165,chr1,165,68,0.0016905562,chrchr1:9079365,-6.548262e-07,SLC2A7,-1.1070205e-09
166,chr1,166,69,-0.00021928156,chrchr1:9305445,1.7108574e-06,H6PD,-3.751595e-10
167,chr1,167,69,-0.00064036215,chrchr1:9324820,1.7108574e-06,H6PD,-1.0955683e-09
168,chr1,168,70,0.0038675242,chrchr1:9416403,1.628666e-06,SPSB1,6.2989054e-09
169,chr1,169,71,-0.0033371393,chrchr1:9657037,2.9679131e-06,TMEM201,-9.90434e-09
170,chr1,170,72,-0.0036282924,chrchr1:9776575,-6.524111e-06,PIK3CD,2.3671383e-08
171,chr1,171,72,0.0009624688,chrchr1:9777669,-6.524111e-06,PIK3CD,-6.279253e-09
172,chr1,172,72,-0.0023731773,chrchr1:9780196,-6.524111e-06,PIK3CD,1.5482872e-08
173,chr1,173,72,0.000954372,chrchr1:9780762,-6.524111e-06,PIK3CD,-6.2264287e-09
174,chr1,174,72,-0.004784996,chrchr1:9780781,-6.524111e-06,PIK3CD,3.1217848e-08
175,chr1,175,72,0.006110561,chrchr1:9782261,-6.524111e-06,PIK3CD,-3.986598e-08
176,chr1,176,73,0.0027034506,chrchr1:9790697,-1.3267409e-06,CLSTN1,-3.5867784e-09
177,chr1,177,73,-0.011769228,chrchr1:9794982,-1.3267409e-06,CLSTN1,1.5614715e-08
178,chr1,178,73,0.0053176894,chrchr1:9795250,-1.3267409e-06,CLSTN1,-7.055196e-09
179,chr1,179,73,-0.004713692,chrchr1:9795967,-1.3267409e-06,CLSTN1,6.2538477e-09
180,chr1,180,73,0.009201759,chrchr1:9804691,-1.3267409e-06,CLSTN1,-1.2208349e-08
181,chr1,181,74,-0.00024382715,chrchr1:9994829,-1.3248425e-07,LZIC,3.2303257e-11
182,chr1,182,75,-0.003963734,chrchr1:10690026,1.2102989e-06,PEX14,-4.797303e-09
183,chr1,183,76,0.022866867,chrchr1:10708142,0.017177654,CASZ1,0.00039279915
184,chr1,184,77,-0.0010093038,chrchr1:11008497,-2.0776247e-06,C1orf127,2.0969546e-09
185,chr1,185,77,-0.0014365452,chrchr1:11008695,-2.0776247e-06,C1orf127,2.9846017e-09
186,chr1,186,77,0.001636482,chrchr1:11014118,-2.0776247e-06,C1orf127,-3.3999954e-09
187,chr1,187,77,0.0015284495,chrchr1:11015165,-2.0776247e-06,C1orf127,-3.1755443e-09
188,chr1,188,77,-0.004280249,chrchr1:11017609,-2.0776247e-06,C1orf127,8.892751e-09
189,chr1,189,77,0.00445029,chrchr1:11017634,-2.0776247e-06,C1orf127,-9.246032e-09
190,chr1,190,77,-0.0012252092,chrchr1:11018723,-2.0776247e-06,C1orf127,2.545525e-09
191,chr1,191,77,0.00032143967,chrchr1:11018757,-2.0776247e-06,C1orf127,-6.67831e-10
192,chr1,192,77,0.00031008324,chrchr1:11024353,-2.0776247e-06,C1orf127,-6.442366e-10
193,chr1,193,78,-0.0027907814,chrchr1:11105561,-1.8350054e-06,MASP2,5.121099e-09
194,chr1,194,78,0.004823315,chrchr1:11106656,-1.8350054e-06,MASP2,-8.850809e-09
195,chr1,195,79,0.0036021834,chrchr1:11114940,7.945546e-06,SRM,2.8621313e-08
196,chr1,196,79,-0.0040114834,chrchr1:11115169,7.945546e-06,SRM,-3.1873427e-08
197,chr1,197,80,-0.00031121538,chrchr1:11126848,1.3495826e-05,EXOSC10,-4.2001087e-09
198,chr1,198,80,0.00086727994,chrchr1:11128654,1.3495826e-05,EXOSC10,1.17046595e-08
199,chr1,199,80,-0.0018229767,chrchr1:11132217,1.3495826e-05,EXOSC10,-2.4602578e-08
200,chr1,200,80,0.0019203962,chrchr1:11137661,1.3495826e-05,EXOSC10,2.5917334e-08
201,chr1,201,80,-0.01036094,chrchr1:11141102,1.3495826e-05,EXOSC10,-1.3982945e-07
202,chr1,202,80,0.007960214,chrchr1:11142961,1.3495826e-05,EXOSC10,1.0742967e-07
203,chr1,203,80,0.0091309445,chrchr1:11150682,1.3495826e-05,EXOSC10,1.2322964e-07
204,chr1,204,80,-0.006988132,chrchr1:11159823,1.3495826e-05,EXOSC10,-9.4310614e-08
205,chr1,205,81,0.0019079426,chrchr1:11169676,1.1165936e-06,MTOR,2.1303965e-09
206,chr1,206,81,-0.000390277,chrchr1:11186897,1.1165936e-06,MTOR,-4.357808e-10
207,chr1,207,82,0.0023782554,chrchr1:11253817,-1.5752908e-06,ANGPTL7,-3.7464436e-09
208,chr1,208,83,-0.004321409,chrchr1:11561245,0.020477436,DISP3,-8.8491375e-05
209,chr1,209,83,-0.008974126,chrchr1:11577690,0.020477436,DISP3,-0.00018376709
210,chr1,210,83,0.027417317,chrchr1:11584164,0.020477436,DISP3,0.00056143635
211,chr1,211,83,-0.012666806,chrchr1:11585308,0.020477436,DISP3,-0.0002593837
212,chr1,212,83,0.007588596,chrchr1:11595497,0.020477436,DISP3,0.000155395
213,chr1,213,84,0.0020085732,chrchr1:11733708,3.643302e-06,FBXO6,7.317839e-09
214,chr1,214,85,0.00062340515,chrchr1:11850927,-1.8646534e-06,MTHFR,-1.1624346e-09
215,chr1,215,85,-0.0042887186,chrchr1:11851003,-1.8646534e-06,MTHFR,7.996974e-09
216,chr1,216,85,0.003995769,chrchr1:11852300,-1.8646534e-06,MTHFR,-7.4507245e-09
217,chr1,217,85,-2.181971e-05,chrchr1:11854755,-1.8646534e-06,MTHFR,4.0686194e-11
218,chr1,218,85,-0.0033346582,chrchr1:11854896,-1.8646534e-06,MTHFR,6.2179817e-09
219,chr1,219,85,0.0022931313,chrchr1:11863057,-1.8646534e-06,MTHFR,-4.275895e-09
220,chr1,220,86,-0.00053415046,chrchr1:11887316,-1.7169539e-06,CLCN6,9.171117e-10
221,chr1,221,86,0.004567271,chrchr1:11889225,-1.7169539e-06,CLCN6,-7.841794e-09
222,chr1,222,86,-0.00020198795,chrchr1:11894133,-1.7169539e-06,CLCN6,3.4680397e-10
223,chr1,223,86,0.008979841,chrchr1:11897082,-1.7169539e-06,CLCN6,-1.5417973e-08
224,chr1,224,86,-0.010228991,chrchr1:11898789,-1.7169539e-06,CLCN6,1.7562705e-08
225,chr1,225,86,0.0028682828,chrchr1:11898859,-1.7169539e-06,CLCN6,-4.9247095e-09
226,chr1,226,86,-0.0063658473,chrchr1:11900151,-1.7169539e-06,CLCN6,1.0929866e-08
227,chr1,227,87,0.0016030133,chrchr1:11907648,-1.6231456e-07,NPPA,-2.601924e-10
228,chr1,228,88,0.0013777108,chrchr1:11918444,4.236136e-07,NPPB,5.8361704e-10
229,chr1,229,89,-0.0058275317,chrchr1:12004694,5.023975e-06,PLOD1,-2.9277373e-08
230,chr1,230,89,0.003909436,chrchr1:12009956,5.023975e-06,PLOD1,1.964091e-08
231,chr1,231,90,0.000109108405,chrchr1:12062205,-2.040199e-07,MFN2,-2.2260286e-11
232,chr1,232,91,0.0015457099,chrchr1:12082461,-7.1024215e-06,MIIP,-1.0978283e-08
233,chr1,233,92,-0.0010242113,chrchr1:12198297,8.3127816e-07,TNFRSF8,-8.514045e-10
234,chr1,234,93,-0.012573431,chrchr1:12342990,-0.013495268,VPS13D,0.00016968182
235,chr1,235,93,-0.0076921764,chrchr1:12401857,-0.013495268,VPS13D,0.000103807986
236,chr1,236,93,-0.03621503,chrchr1:12401868,-0.013495268,VPS13D,0.00048873154
237,chr1,237,93,0.014011012,chrchr1:12406746,-0.013495268,VPS13D,-0.00018908238
238,chr1,238,93,0.004492974,chrchr1:12438532,-0.013495268,VPS13D,-6.0633887e-05
239,chr1,239,94,-0.012012331,chrchr1:14105726,-0.03552421,PRDM2,0.0004267286
240,chr1,240,94,0.00262223,chrchr1:14106987,-0.03552421,PRDM2,-9.315265e-05
241,chr1,241,94,0.00020135315,chrchr1:14107333,-0.03552421,PRDM2,-7.152912e-06
242,chr1,242,94,0.0085804,chrchr1:14107643,-0.03552421,PRDM2,-0.00030481193
243,chr1,243,94,0.002110358,chrchr1:14143003,-0.03552421,PRDM2,-7.496881e-05
244,chr1,244,94,-0.06091049,chrchr1:14149622,-0.03552421,PRDM2,0.0021637972
245,chr1,245,94,0.010362404,chrchr1:14149696,-0.03552421,PRDM2,-0.00036811625
246,chr1,246,95,0.00052927894,chrchr1:15541883,1.998732e-06,TMEM51,1.0578868e-09
247,chr1,247,96,-0.00087254733,chrchr1:15753750,-2.3504817e-06,EFHD2,2.0509066e-09
248,chr1,248,97,0.0038921526,chrchr1:15770099,4.1785556e-06,CTRC,1.6263575e-08
249,chr1,249,97,-0.0033593425,chrchr1:15772212,4.1785556e-06,CTRC,-1.4037199e-08
250,chr1,250,98,-0.041600537,chrchr1:15788269,-0.031989288,CELA2A,0.0013307715
251,chr1,251,99,0.001106183,chrchr1:15812363,1.1394717e-06,CELA2B,1.2604643e-09
252,chr1,252,100,-0.0017848556,chrchr1:15819435,0.015207654,CASP9,-2.7143466e-05
253,chr1,253,100,-0.01416547,chrchr1:15832495,0.015207654,CASP9,-0.00021542357
254,chr1,254,101,-0.00010795872,chrchr1:15855760,2.1209626e-06,DNAJC16,-2.289764e-10
255,chr1,255,101,0.003658109,chrchr1:15871128,2.1209626e-06,DNAJC16,7.758713e-09
256,chr1,256,102,-0.0034360143,chrchr1:15978407,2.7647536e-07,DDI2,-9.499733e-10
257,chr1,257,103,6.825168e-05,chrchr1:16064402,2.9178284e-07,SLC25A34,1.9914667e-11
258,chr1,258,104,0.002939161,chrchr1:16069525,6.7885804e-07,TMEM82,1.995273e-09
259,chr1,259,105,-0.003306798,chrchr1:16096893,1.3565832e-05,FBLIM1,-4.4859465e-08
260,chr1,260,105,-0.0034407594,chrchr1:16101217,1.3565832e-05,FBLIM1,-4.6676764e-08
261,chr1,261,105,0.006170698,chrchr1:16111014,1.3565832e-05,FBLIM1,8.371065e-08
262,chr1,262,106,-0.0020703753,chrchr1:16237577,-1.2683698e-06,SPEN,2.6260014e-09
263,chr1,263,106,0.0022926757,chrchr1:16254571,-1.2683698e-06,SPEN,-2.9079605e-09
264,chr1,264,106,0.004437426,chrchr1:16259143,-1.2683698e-06,SPEN,-5.6282974e-09
265,chr1,265,106,-0.0048748436,chrchr1:16265799,-1.2683698e-06,SPEN,6.1831047e-09
266,chr1,266,107,0.004615937,chrchr1:16268784,-0.009926841,ZBTB17,-4.582167e-05
267,chr1,267,107,-0.014912258,chrchr1:16271156,-0.009926841,ZBTB17,0.00014803161
268,chr1,268,108,-0.0045901667,chrchr1:16355292,-1.7879719e-06,CLCNKA,8.207089e-09
269,chr1,269,109,1.7150616e-05,chrchr1:16371067,6.6862294e-06,CLCNKB,1.1467295e-10
270,chr1,270,109,0.008448765,chrchr1:16375601,6.6862294e-06,CLCNKB,5.649038e-08
271,chr1,271,109,-0.00674652,chrchr1:16382201,6.6862294e-06,CLCNKB,-4.510878e-08
272,chr1,272,110,0.0007011448,chrchr1:16458645,-2.466078e-05,EPHA2,-1.7290777e-08
273,chr1,273,110,0.0010102388,chrchr1:16462264,-2.466078e-05,EPHA2,-2.4913275e-08
274,chr1,274,110,0.0070816725,chrchr1:16462307,-2.466078e-05,EPHA2,-1.7463957e-07
275,chr1,275,110,-0.008919542,chrchr1:16464612,-2.466078e-05,EPHA2,2.1996286e-07
276,chr1,276,111,-0.0002239626,chrchr1:16532803,3.2537953e-06,ARHGEF19,-7.2872847e-10
